40-SPLTRX-Generic Discount                              | MissingGeneric Discount
40-SPLTRX-Promo Generic Discount                        | MissingPromo Generic Discount
40-SPLTRX-OVERRING -- Generic Discount                  | MissingOVERRING -- Generic Discount
40-SPLTRX-Promo OVERRING -- Generic Discount            | MissingPromo OVERRING -- Generic Discount
40-SPLTRX-Recalled - Generic Discount                   | MissingRecalled - Generic Discount
40-SPLTRX-Recalled - OVERRING -- Generic Discount       | MissingRecalled - OVERRING -- Generic Discount
40-SPLTRX-Recalled - Promo Generic Discount             | MissingRecalled - Promo Generic Discount 
40-SPLTRX-Recalled - Promo OVERRING -- Generic Discount | MissingRecalled - Promo OVERRING -- Generic Discount
40-SPLTRX-Manager Discount                              | MissingManager Discount 
40-SPLTRX-Promo Manager Discount                        | MissingPromo Manager Discount
40-SPLTRX-OVERRING -- Manager Discount                  | MissingOVERRING -- Manager Discount
40-SPLTRX-Promo OVERRING -- Manager Discount            | MissingPromo OVERRING -- Manager Discount
40-SPLTRX-Recalled - Manager Discount                   | MissingRecalled - Manager Discount
40-SPLTRX-Recalled - OVERRING -- Manager Discount       | MissingRecalled - OVERRING -- Manager Discount
40-SPLTRX-Recalled - Promo Manager Discount             | MissingRecalled - Promo Manager Discount
40-SPLTRX-Recalled - Promo OVERRING -- Manager Discount | MissingRecalled - Promo OVERRING -- Manager Discount
40-SPLTRX-NULL                                          | MissingNULL
40-PYMT-EUR   | 0
40-PYMT-WME   | 6
40-PYMT-WSV 2.00   | 11
40-PYMT-DEFAULT   | 21
40-PYMT-MAESTRO   | 22
40-PYMT-MASTERCARD   | 23
40-PYMT-VISA   | 24
40-PYMT-MOBILE PAYMENT   | 25
40-PYMT-Promo  | 0
40-PYMT-Emp Disc | 0
40-PYMT-$1 Gift Certif.  | Missing$1 Gift Certif.
40-PYMT-$5 Gift Book| Missing$5 Gift Book
40-PYMT-% Discount  | Missing% Discount
40-PYMT-Amt Discount| MissingAmt Discount
40-PYMT-Billable Sales   | MissingBillable Sales
40-PYMT-Cashless    | MissingCashless
40-PYMT-Cashless-Amex  | MissingCashless-Amex 
40-PYMT-Cashless-Credit| MissingCashless-Credit
40-PYMT-Cashless-Debit | MissingCashless-Debit
40-PYMT-Cashless-Dscvr | MissingCashless-Dscvr
40-PYMT-Cashless-Master| MissingCashless-Master
40-PYMT-Cashless-Visa  | MissingCashless-Visa
40-PYMT-Coupon A    | MissingCoupon A 
40-PYMT-Coupon B    | MissingCoupon B
40-PYMT-Coupon C    | MissingCoupon C
40-PYMT-Coupon D    | MissingCoupon D
40-PYMT-Employee Meal    | MissingEmployee Meal
40-PYMT-Gift Card-Gift Card | MissingGift Card-Gift Card 
40-PYMT-Cashless-Gift Card | MissingCashless-Gift Card
40-PYMT-Livingsocial Mac Cer  | MissingLivingsocial Mac Cer
40-PYMT-Manager Meal| MissingManager Meal
40-PYMT-NULL   | MissingNULL 
40-PYMT-US$    | MissingUS$
840-PYMT-@@@@|40022
95-POS-FRONT COUNTER|0
95-DLVR-TAKEOUT|0
95-SPLTRX-SALE|0
95-PYMT-CASH $|0
95-DLVR-EATIN|0
95-SPLTRX-PROMO SALE|0
95-SPLTRX-REFUND|0
95-PYMT-@@@@|1
95-SPLTRX-MANAGER DISCOUNT|1
95-POS-MCCAFE|1
95-PYMT-CASHLESS-EFTPOS|1
95-SPLTRX-GENERIC DISCOUNT|1
95-PYMT-PROMO|1
95-SPLTRX-CREW DISCOUNT|1
95-PYMT-MANAGER MEAL|2
95-SPLTRX-WASTE|2
95-POS-DRIVE THRU|2
95-PYMT-POLICE MEAL|2
95-SPLTRX-RECALLED - SALE|2
95-PYMT-CASHLESS-MASTERCARD|2
95-SPLTRX-PROMO GENERIC DISCOUNT|3
95-PYMT-CASHLESS-VISA|3
95-PYMT-EMPLOYEE MEAL|3
95-SPLTRX-RECALLED - CREW DISCOUNT|3
95-SPLTRX-RECALLED - GENERIC DISCOUNT|3
95-SPLTRX-RECALLED - PROMO SALE|3
95-PYMT-CASHLESS-AMEX|4
36-POS-FRONT COUNTER|0
36-DLVR-TAKEOUT|0
36-SPLTRX-SALE|0
36-PYMT-CASH $|0
36-SPLTRX-GENERIC DISCOUNT|0
36-PYMT-POLICE MEAL|0
36-SPLTRX-MANAGER DISCOUNT|0
36-PYMT-MANAGER MEAL|0
36-PYMT-CASHLESS-EFTPOS|0
840-POS-WALK THRU|10007
36-SPLTRX-CREW DISCOUNT|1
36-POS-MCCAFE|1
36-DLVR-EATIN|1
36-PYMT-CASHLESS-MASTERCARD|1
36-SPLTRX-RECALLED - SALE|1
36-PYMT-PROMO|1
36-PYMT-EMPLOYEE MEAL|1
36-SPLTRX-REFUND|1
36-SPLTRX-PROMO SALE|1
36-SPLTRX-WASTE|1
36-PYMT-@@@@|1
36-POS-DRIVE THRU|2
36-PYMT-CASHLESS-VISA|2
36-PYMT-CASHLESS-AMEX|2
36-SPLTRX-RECALLED - PROMO SALE|2
36-POS-DELIVERY|3
36-SPLTRX-RECALLED - GENERIC DISCOUNT|3
36-SPLTRX-PROMO CREW DISCOUNT|4
36-SPLTRX-PROMO GENERIC DISCOUNT|5
36-PYMT-COUPON E|3
36-PYMT-COUPON D|4
36-SPLTRX-RECALLED - CREW DISCOUNT|6
36-PYMT-CREDIT SALES|5
36-SPLTRX-PROMO MANAGER DISCOUNT|7
36-PYMT-COUPON C|5
36-PYMT-COUPON A|5
36-SPLTRX-RECALLED - MANAGER DISCOUNT|8
36-SPLTRX-RECALLED - PROMO GENERIC DISCOUNT|9
840-PYMT-CASHLESS-3|40026
702-DLVR-EATIN|10001
702-DLVR-OTHER|10002
702-DLVR-TAKEOUT|10003
702-POS-COLD KIOSK|20001
702-POS-DELIVERY|20002
702-POS-DLV|20002
702-POS-DRIVE THRU|20003
702-POS-DT|20003
702-POS-FRONT COUNTER|20004
702-POS-MCCAFE|20005
702-POS-MFY|20006
702-POS-CAFE|20007
702-POS-FC-EXP|20008
702-POS-DL-KVS|20009
702-POS-DRK-KVS|20010
702-POS-DS-KVS|20011
702-POS-HOT (HANDHELD ORDER TAKER)|20012
702-POS-CK|20013
702-PYMT-@@@@|30001
702-PYMT-CASH $|30002
702-PYMT-CASHLESS-MASTERCARD|30003
702-PYMT-CASHLESS-NETS DEBIT|30004
702-PYMT-CASHLESS-NETS FLASHPAY|30005
702-PYMT-CASHLESS-VISA|30006
702-PYMT-COUPON E|30007
702-PYMT-EMPLOYEE MEAL|30008
702-PYMT-GIFT REDM A|30009
702-PYMT-GIFT REDM B|30010
702-PYMT-LO CREDIT|30011
702-PYMT-MANAGER MEAL|30012
702-PYMT-MDS CREDIT|30013
702-PYMT-OTHER CREDIT SALES|30014
702-PYMT-PROMO|30015
702-PYMT-BP DEPOSIT RETURN|30016
702-PYMT-USD|30017
702-SPLTRX-CREW DISCOUNT|40001
702-SPLTRX-GENERIC DISCOUNT|40002
702-SPLTRX-MANAGER DISCOUNT|40003
702-SPLTRX-RECALLED - CREW DISCOUNT|40004
702-SPLTRX-RECALLED - GENERIC DISCOUNT|40005
702-SPLTRX-RECALLED - PROMO SALE|40006
702-SPLTRX-RECALLED - SALE|40007
702-SPLTRX-REFUND|40008
702-SPLTRX-SALE|40009
702-SPLTRX-WASTE|40010
702-SPLTRX-PROMO SALE|40011
702-SPLTRX-PROMO GENERIC DISCOUNT|40012
702-SPLTRX-RECALLED - MANAGER DISCOUNT|40013
702-SPLTRX-RECALLED - PROMO CREW DISCOUNT|40014
702-SPLTRX-PROMO CREW DISCOUNT|40015
702-SPLTRX-RECALLED - PROMO GENERIC DISCOUNT|40016
702-SPLTRX-PROMO MANAGER DISCOUNT|40017
156-DLVR-EatIn |0
156-DLVR-NULL  |3
156-DLVR-OTHER |2
156-DLVR-TakeOut |1
156-POS-CAFE	|32
156-POS-Cold Kiosk      |16        
156-POS-DELIVERY        |8
156-POS-DLV		|8
156-POS-Drive Thru      |2
156-POS-DT		|2
156-POS-FC-EXP		|64
156-POS-Front Counter   |1
156-POS-Kiosk           |16
156-POS-McCafe          |32
156-POS-MDS             |156110
156-POS-MFY		|156111
156-POS-OAT		|156112
156-POS-SEC		|156113
156-POS-CSO (CUSTOMER SELF ORDERING)|20
156-PYMT-@@@@  - |99
156-PYMT-100% DISCOUNT |88
156-PYMT-CASH $ |5
156-PYMT-CASHLESS-CHINA UNIONPAY |1
156-PYMT-Coupon A |156204
156-PYMT-Coupon B |156205
156-PYMT-Coupon C |156206
156-PYMT-Coupon D |156207
156-PYMT-Cred. Sales |1
156-PYMT-EMPLOYEE MEAL |NA
156-PYMT-Gift Redm A |2
156-PYMT-Gift Redm B |3
156-PYMT-MDS	     |156212
156-PYMT-Other Payment |10
156-PYMT-PROMO |4
156-PYMT-RMB |5
156-PYMT-@@@@|99
156-PYMT-??|10
156-PYMT-???|10
